date,week,team1,team2,score1,score2,538 spread,fd spread
12/23/2018,16,NE,BUF,24,12,-11.5,-14
12/23/2018,16,DET,MIN,9,27,1.5,6.5
12/23/2018,16,SF,CHI,9,14,5.5,3.5
12/23/2018,16,ARI,LAR,9,31,8.5,14
12/23/2018,16,NO,PIT,31,28,-7,-6.5
12/23/2018,16,SEA,KC,38,31,1,1
12/24/2018,16,OAK,DEN,27,14,3,1.5
12/30/2018,17,NE,NYJ,38,3,-14.5,-13.5
12/30/2018,17,NYG,DAL,35,36,3.5,-7.5
12/30/2018,17,GB,DET,0,31,-4.5,-7.5
12/30/2018,17,TB,ATL,32,34,1,2.5
12/30/2018,17,HOU,JAX,20,3,-6,-7
12/30/2018,17,NO,CAR,14,33,-13,-7.5
12/30/2018,17,BUF,MIA,42,17,-2.5,-5.5
12/30/2018,17,KC,OAK,35,3,-14,-14
12/30/2018,17,WSH,PHI,0,24,4.5,6
12/30/2018,17,BAL,CLE,26,24,-10,-7
12/30/2018,17,PIT,CIN,16,13,-11,-13.5
12/30/2018,17,MIN,CHI,10,24,-1.5,-5.5
12/30/2018,17,DEN,LAC,9,23,4,6.5
12/30/2018,17,SEA,ARI,27,24,-13.5,-15
12/30/2018,17,LAR,SF,48,32,-12,-10.5
12/30/2018,17,TEN,IND,17,33,-3.5,5.5
